name,email,utr,amount
User0,user0@mail.com,10000,300
User1,user1@mail.com,10001,300
User2,user2@mail.com,10002,600
User3,user3@mail.com,10003,300
User4,user4@mail.com,10004,600
User5,user5@mail.com,10005,600
User6,user6@mail.com,10006,600
User7,user7@mail.com,10007,300
User8,user8@mail.com,10008,100
User9,user9@mail.com,10009,600
User10,user10@mail.com,10010,100
User11,user11@mail.com,10011,300
User12,user12@mail.com,10012,100
User13,user13@mail.com,10013,200
User14,user14@mail.com,10014,400
User15,user15@mail.com,10015,500
User16,user16@mail.com,10016,200
User17,user17@mail.com,10017,100
User18,user18@mail.com,10018,500
User19,user19@mail.com,10019,300
User20,user20@mail.com,10020,100
User21,user21@mail.com,10021,100
User22,user22@mail.com,10022,300
User23,user23@mail.com,10023,500
User24,user24@mail.com,10024,300
User25,user25@mail.com,10025,300
User26,user26@mail.com,10026,100
User27,user27@mail.com,10027,300
User28,user28@mail.com,10028,100
User29,user29@mail.com,10029,400
User30,user30@mail.com,10030,400
User31,user31@mail.com,10031,100
User32,user32@mail.com,10032,100
User33,user33@mail.com,10033,200
User34,user34@mail.com,10034,500
User35,user35@mail.com,10035,200
User36,user36@mail.com,10036,400
User37,user37@mail.com,10037,200
User38,user38@mail.com,10038,500
User39,user39@mail.com,10039,200
User40,user40@mail.com,10040,600
User41,user41@mail.com,10041,400
User42,user42@mail.com,10042,400
User43,user43@mail.com,10043,200
User44,user44@mail.com,10044,200
User45,user45@mail.com,10045,200
User46,user46@mail.com,10046,400
User47,user47@mail.com,10047,300
User48,user48@mail.com,10048,200
User49,user49@mail.com,10049,200
